SCPS-45125	SCPS-45125.chd
SLPM-86760	SLPM-86760.chd
SLPS-00254	Wolf-Fang-SLPS-00254_1.chd
SLPS-01632	SLPS-01632.chd
SLPS-01685	SLPS-01685.chd
SLPS-03065	SLPS-03065.chd
SLPS-01238	SLPS-01238.chd
SCPS-45379	SCPS-45379.chd
SCPS-10067	Yarudora-Series-Vol.3-Sanpaguita-[Disc1of2]-SCPS-10067_1.chd
SLPM-87131	Bakuten-Shoot-Beyblade-2002-Bey-Battle-Tournament-2-SLPM-87131(1).chd
SLPS-02847	Chakushin-Melody-Damon-Gold-SLPS-02847(1).chd | Chakushin-Melody-Damon-Gold-SLPS-02847.chd
SLPS-00094	Interactive-Movie-Action-Thunderstorm-&-Roadblaster-[Disc1of2]-SLPS-00094_1.chd
SLPS-00067	Jikkyou-Powerfull-Pro-Baseball-'95-Opening-Printing-SLPS-00067_1.chd
SLPS-01752	Tsuwadou-Keiryuu-Mizuumihen-SLPS-01752.cue | Tsuwadou-Keiryuu-Mizuumihen-SLPS-01752_1.chd
SLPS-01966	Wakupuyo-Dungeon-Expert-[Disc1of2]-SLPS-01966_1.chd | Wakupuyo-Dungeon-Expert-[Disc1of2]-SLPS-01966_2.chd
SLPS-00006	Hot-Blooded-Family-(Thermal-Blood-Parent-and-Child)-Nekketsu-Oyako-SLPS-00006_1.chd | Hot-Blooded-Family-(Thermal-Blood-Parent-and-Child)-Nekketsu-Oyako-SLPS-00006_2.chd | Hot-Blooded-Family-(Thermal-Blood-Parent-and-Child)-Nekketsu-Oyako-SLPS-00006_3.chd | Hot-Blooded-Family-(Thermal-Blood-Parent-and-Child)-Nekketsu-Oyako-SLPS-00006_4.chd
SLUS-00012	Revolution-X-Music-Is-the-Weapon-SLUS-00012_1.chd
SLUS-00797	Ridge-Racer-Type-4-SLUS-00797_1.chd
SLUS-00787	T'ai Fu - Wrath of the Tiger-SLUS-00787.bin | T'ai Fu - Wrath of the Tiger-SLUS-00787.cue | T'ai-Fu-Wrath-of-the-Tiger-SLUS-00787.chd
SCUS-94607	Tail of the Sun-SCUS-94607.cue | Tail-of-the-Sun-Wild,-Pure,-Simple-Life-SCUS-94607.chd
SLUS-00006	TEKKEN-SLUS-00006.chd | Tekken-SLUS-00006.cue
SLUS-00283	Tempest X3-SLUS-00283.cue | TEMPEST-X3-SLUS-00283.chd
SLUS-01054	Tiger Woods PGA Tour 2000-SLUS-01054.cue | TIGER-WOODS-PGA-TOUR-2000-SLUS-01054.chd
SLUS-00980	TNN Motorsports HardCore TR-SLUS-00980.cue | TNN-Motorsports-Hardcore-TR-SLUS-00980.chd
SLUS-00152	Tomb Raider-SLUS-00152.cue | TOMB-RAIDER-SLUS-00152.chd
SLUS-00618	Triple Play 99-SLUS-00618.cue | Triple-Play-'99-SLUS-00618.chd
SLUS-01345	Triple Play Baseball-SLUS-01345.cue | Triple-Play-Baseball-SLUS-01345.chd
SLUS-00480	WarCraft II - The Dark Saga-SLUS-00480.cue | Warcraft-II-The-Dark-Saga-SLUS-00480.chd
SLUS-00779	WCW-nWo Thunder-SLUS-00779.cue | WCW-NWO-Thunder-SLUS-00779.chd
SCUS-94644	Who Wants to Be a Millionaire - 3rd Edition-SCUS-94644.cue | Who-Wants-To-Be-a-Millionaire-3rd-Edition-SCUS-94644.chd
SLUS-00865	WipEout 3-SLUS-00865.cue | Wipeout-3-SLUS-00865.chd
SLUS-00013	WWF-Wrestlemania-The-Arcade-Game-SLUS-00013_1.chd
SLPS-02639	Waneba-Island-World-Neverland-Series-SLPS-02639_1.chd
SCPS-18007	Stolen-Song-A-Virtual-Music-Adventure-Tomoyash-Hotli-(Limited-Edition)-[Disc1of2]-SCPS-18007_1.chd
SLPS-02427	Jinguji-Saburo-Tomoshibi-Ga-Kienumani-SLPS-02427_1.chd
