SLES-00307	SLES-00307.cue | SLES-00307_1.cue
SLUS-00771	Rival Schools Evolution [U] [SLUS-00771].img
SCUS-94204	Spawn - The Eternal-SCUS-94204.cue
SLUS-00821	Street Fighter Alpha 3 [SLUS-00821].cue | Street Fighter Alpha 3-SLUS-00821.cue
SLUS-00423	Street Fighter Collection (Disc 1)-SLUS-00423.cue
SLUS-00813	T.R.A.G. - Mission of Mercy-SLUS-00813.cue
SLUS-00560	Tactics Ogre-SLUS-00560.cue
SLUS-00660	Tail Concerto-SLUS-00660.cue
SLUS-01355	Tales of Destiny II (Disc 1)-SLUS-01355.cue
SLUS-00626	Tales of Destiny-SLUS-00626.cue
SLUS-00340	Tecmo's Deception - Invitation to Darkness-SLUS-00340.cue
SLUS-00315	Tecmo Stackers-SLUS-00315.cue
SLUS-00070	Tecmo Super Bowl-SLUS-00070.cue
SLUS-00299	Tecmo World Golf - Japan-SLUS-00299.cue
SLUS-00213	Tekken 2-SLUS-00213.cue
SLUS-00402	Tekken 3-SLUS-00402.cue
SLUS-00939	Tenchu 2 - Birth of the Stealth Assassins-SLUS-00939.cue
SLUS-00706	Tenchu - Stealth Assassins-SLUS-00706.cue
SLUS-01348	Tennis-SLUS-01348.cue
SLUS-00487	Test Drive 4-SLUS-00487.cue
SLUS-00839	Test Drive 6-SLUS-00839.cue
SLUS-01077	Test Drive Le Mans-SLUS-01077.cue
SLUS-00609	Test Drive Off-Road 2-SLUS-00609.cue
SLUS-00840	Test Drive Off-Road 3-SLUS-00840.cue
SLUS-00396	Test Drive Off-Road-SLUS-00396.cue
SLUS-00275	Theme Hospital-SLUS-00275.cue
SLUS-00017	Theme Park-SLUS-00017.cue
SLUS-00858	Thousand Arms (Disc 2)-SLUS-00858.cue
SLUS-01019	Threads of Fate-SLUS-01019.cue
SLUS-01486	The Three Stooges-SLUS-01486.cue
SLUS-00785	Tiger Woods 99 PGA Tour Golf-SLUS-00785.cue
SLUS-01273	Tiger Woods PGA Tour Golf-SLUS-01273.cue
SLUS-00346	Tigershark-SLUS-00346.cue
SLUS-00342	Time Commando-SLUS-00342.cue
SLUS-01336	Time Crisis - Project Titan-SLUS-01336.cue
SLUS-00405	Time Crisis-SLUS-00405.cue
SLUS-00967	Tiny Toon Adventures - Toonenstein - Dare to Scare!-SLUS-00967.cue
SLUS-00089	TNN Motor Sports HardCore 4X4-SLUS-00089.cue
SCUS-94208	Tobal No. 1-SCUS-94208.cue
SLUS-00229	Tokyo Highway Battle-SLUS-00229.cue
SLUS-01473	Tom Clancy's Rainbow Six - Lone Wolf-SLUS-01473.cue
SLUS-01108	Tom Clancy's Rainbow Six - Rogue Spear-SLUS-01108.cue
SLUS-00947	Tom Clancy's Rainbow Six-SLUS-00947.cue
SLUS-01191	Tom and Jerry in House Trap-SLUS-01191.cue
SLUS-00437	Tomb Raider II - Starring Lara Croft-SLUS-00437.cue
SLUS-00691	Tomb Raider III - Adventures of Lara Croft-SLUS-00691.cue | Tomb-Raider-3-Adventures-of-Lara-Croft-SLUS-00691.cue
SLUS-00885	Tomb Raider - The Last Revelation-SLUS-00885.cue
SLUS-01311	Tomb Raider Chronicles-SLUS-01311.cue
SCUS-94454	Tomba! 2 - The Evil Swine Return-SCUS-94454.cue
SCUS-94236	Tomba!-SCUS-94236.cue
SLUS-01007	Tonka Space Station-SLUS-01007.cue
SLUS-01066	Tony Hawk's Pro Skater 2-SLUS-01066.cue
SLUS-01485	Tony Hawk's Pro Skater 4-SLUS-01485.cue
SLUS-01181	World of Dragon Warrior - Torneko - The Last Hope-SLUS-01181.cue
SLUS-00021	Total Eclipse Turbo-SLUS-00021.cue
SLUS-01160	Transformers - Beast Wars Transmetals-SLUS-01160.cue
SLUS-00430	Treasures of the Deep-SLUS-00430.cue
SLUS-00827	Triple Play 2000-SLUS-00827.cue
SLUS-01082	Triple Play 2001-SLUS-01082.cue
SLUS-00237	Triple Play 97-SLUS-00237.cue
SLUS-00337	True Pinball-SLUS-00337.cue
SLUS-00188	Tunnel B1-SLUS-00188.cue
SCUS-94249	Twisted Metal III-SCUS-94249.cue
SCUS-94560	Twisted Metal 4-SCUS-94560.cue
SCUS-94304	Twisted Metal-SCUS-94304.cue
SCUS-94642	Twisted Metal - Small Brawl-SCUS-94642.cue
SLUS-01156	Valkyrie Profile (Disc 1)-SLUS-01156.cue
SLUS-01179	Valkyrie Profile (Disc 2)-SLUS-01179.cue
SLUS-01035	Vanark-SLUS-01035.cue
SLUS-01228	V.I.P-SLUS-01228.cue
SLUS-00599	WarGames - Defcon 1-SLUS-00599.cue
SLUS-00328	War Gods-SLUS-00328.cue
