limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  102.4529] I/Host: Status: Varredura 'Fighting-Illusion-K-1-GP-2000-SLPS-02981.chd'...
[  102.5135] I/Host: Status: Varredura 'Fighting-Illusion-K-1-Grand-Prix-'98-SLPS-01696.chd'...
[  102.5563] I/Host: Status: Varredura 'Fighting-Illusion-K-1-Revenge-SLPS-00978.chd'...
[  102.5948] I/Host: Status: Varredura 'Fighting-Illusion-V-K-1-Grand-Prix-'99-SLPS-02304.chd'...
[  102.6274] I/Host: Status: Varredura 'Fighting-Network-Rings-SLPS-00631.chd'...
[  102.6794] I/Host: Status: Varredura 'Final-Doom-SLUS-00331.chd'...
[  102.7315] I/Host: Status: Varredura 'Final-Fantasy-Anthology-European-Edition-Final-Fantasy-IV-SCES-00038.chd'...
[  102.7902] I/Host: Status: Varredura 'Final-Fantasy-Anthology-European-Edition-Final-Fantasy-IV-SCES-03840.chd'...
[  103.1162] I/Host: Status: Varredura 'Final-Fantasy-Anthology-Final-Fantasy-VI-SLUS-00900.chd'...
[  103.1543] I/Host: Status: Varredura 'Final-Fantasy-Anthology-SLUS-00879.chd'...
[  103.1836] I/Host: Status: Varredura 'Final-Fantasy-Chronicles-Final-Fantasy-IV-SLUS-01360.chd'...
[  103.2199] I/Host: Status: Varredura 'Final-Fantasy-Chronicles-SLUS-01363.chd'...
[  103.2422] I/Host: Status: Varredura 'Final-Fantasy-Extra-Collection-SLPM-80073(1).chd'...
[  103.2585] E(OpenCHD): Failed to open CHD 'D:\roms\library\roms\psx\Final-Fantasy-Extra-Collection-SLPM-80073(1).chd': invalid file
[  103.2594] E(GetDiscListEntry): Failed to open disc image 'Final-Fantasy-Extra-Collection-SLPM-80073(1).chd': invalid file
[  103.2596] I/Host: Status: Varredura 'Final-Fantasy-Extra-Collection-SLPM-80073.chd'...
[  103.2902] I/Host: Status: Varredura 'Final-Fantasy-Extra-Collection-SLPS-01948.chd'...
[  103.3432] I/Host: Status: Varredura 'Final-Fantasy-II-SLPS-03502.chd'...
[  103.3926] I/Host: Status: Varredura 'Final-Fantasy-IV-SCPS-45029.chd'...
[  103.4145] I/Host: Status: Varredura 'Final-Fantasy-IX-SLPS-02000.chd'...
[  103.4746] I/Host: Status: Varredura 'Final-Fantasy-IX-SLUS-01251-Disc1.chd'...
[  103.5342] I/Host: Status: Varredura 'Final-Fantasy-IX-SLUS-01295-Disc2.chd'...
[  103.5750] I/Host: Status: Varredura 'Final-Fantasy-IX-SLUS-01296-Disc3.chd'...
[  103.6169] I/Host: Status: Varredura 'Final-Fantasy-IX-SLUS-01297-Disc4.chd'...
[  103.6765] I/Host: Status: Varredura 'Final-Fantasy-Origins-Final-Fantasy-Disc-SLPS-03430.chd'...
[  103.7217] I/Host: Status: Varredura 'Final-Fantasy-Origins-Final-Fantasy-II-Disc-SLPS-03501.chd'...
[  103.7377] I/Host: Status: Varredura 'Final-Fantasy-Origins-Final-Fantasy-SLES-04034.chd'...
[  103.7717] I/Host: Status: Varredura 'Final-Fantasy-Origins-SLUS-01541.chd'...
[  103.7932] I/Host: Status: Varredura 'Final-Fantasy-Tactics-NTSC-U-SCUS-94221.chd'...
[  103.8203] I/Host: Status: Varredura 'Final-Fantasy-Tactics-SCUS-94221.chd'...
[  103.8473] I/Host: Status: Varredura 'Final-Fantasy-V-SCPS-45214(1).chd'...
[  103.8601] E(OpenCHD): Failed to open CHD 'D:\roms\library\roms\psx\Final-Fantasy-V-SCPS-45214(1).chd': invalid file
[  103.8610] E(GetDiscListEntry): Failed to open disc image 'Final-Fantasy-V-SCPS-45214(1).chd': invalid file
[  103.8611] I/Host: Status: Varredura 'Final-Fantasy-V-SCPS-45214.chd'...
[  103.8987] I/Host: Status: Varredura 'Final-Fantasy-V-SLPM-86081.chd'...
[  103.9416] I/Host: Status: Varredura 'Final-Fantasy-VI-SCES-03828.chd'...
[  103.9744] I/Host: Status: Varredura 'Final-Fantasy-VII-International-Nao-Conversivel-SLPS-01058.chd'...
[  104.0151] I/Host: Status: Varredura 'Final-Fantasy-VII-International-SLPS-01058.chd'...
